Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Mayankeshwar Sharan Singh,BJP, 3 ,Graduate,51,580703047,2755204
Mohd Masoom,IND,0,12th Pass,33,161000,0
Mohd Naim,SP, 2 ,10th Pass,59,11465289,0
Mukesh Kumar,IND,0,Graduate,37,3152337,7902274
Pradeep Singhal,INC, 2 ,Graduate,48,63074910,11105063
Raghuvansh,BSP,0,8th Pass,42,5098270,1600000
Rajkumar,IND,0,Post Graduate,47,897394,0
Ram Snehi,Rashtriya Samaj Paksha,0,5th Pass,54,75000,0
Sandeep Kumar,IND,0,Literate,25,51000,0
Sudhir Kumar Singh,IND,0,10th Pass,35,17309972,713191
Babulal,India Praja Bandhu Party,0,Post Graduate,35,212000,0
Dinesh Kumar,JD(U),0,8th Pass,34,645000,0
Harishchandra,IND,0,Illiterate,52,5390000,0
Jitendar Kumar,BSP,0,Graduate,31,6084179,0
Mahendra Rawat,IND,0,Post Graduate,29,2694000,0
Putti Lal,IND,0,10th Pass,45,634000,0
Shushil Kumar,IND,0,12th Pass,30,236000,0
Siyaram,Vikassheel Insaan Party,0,8th Pass,40,2613000,65000
Suresh Kumar,BJP,0,12th Pass,40,15757726,1200000
Tilak Raj,AAP,0,Post Graduate,40,2880000,0
Vijay Kumar,INC, 4 ,8th Pass,41,5722000,152949
Vimlesh Kumari,SP,0,Post Graduate,51,5791200,0
Chandra Prakash Mishra Matiyari,BJP, 10 ,Graduate Professional,51,119397824,9386000
Chaudhary Nafees Ahamad,Jansatta Dal Loktantrik, 1 ,Graduate,41,10279935,0
Fateh Bahadur,INC,0,10th Pass,42,16279113,0
Hari Baksh,IND,0,12th Pass,53,2941419,70000
Mohd. Hasan Lahri,Lok Dal,0,8th Pass,41,2500000,0
Rakesh Pratap Singh,SP, 4 ,10th Pass,49,29771473,3797901
Ramlakhan,BSP, 2 ,Graduate,56,19600000,0
Sarita,IND,0,8th Pass,51,19600000,0
Shiv Prasad,AAP,0,Post Graduate,68,18175000,0
Anju Pal,Rashtra Uday Party,0,Post Graduate,26,91000,0
Anurag,AAP,0,Graduate,30,4750000,35000
Ashish Shukla,INC, 2 ,Post Graduate,61,40610021,18697633
Ashok Kumar,IND,0,Literate,42,765000,0
Dr.Sanjay Singh,BJP,0,Doctorate,70,504828241,0
Krishna Kumar,Jan Adhikar Party,0,Post Graduate,35,902523,0
Maharaji Prajapati,SP,0,Literate,51,95592804,24549391
Pawan,IND,0,12th Pass,34,330000,0
Pradeep Kumar,Rashtriya Democratic Front,0,Doctorate,49,1215000,0
Ragini,BSP,0,Post Graduate,46,36624847,0
Raju,Vikassheel Insaan Party,0,8th Pass,40,2687500,0
Ramraj,Moulik Adhikar Party,0,5th Pass,57,1139500,0
